Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,Brier,Precision@k,Recall@k,Lift@k,k
LightGBM_calibrated,0.755,0.4,0.6486486486486487,0.4948453608247423,0.7834521638202621,0.4423163701949937,0.16363467213442712,0.45,0.24324324324324326,2.4324324324324325,20
LightGBM,0.77,0.423728813559322,0.6756756756756757,0.5208333333333334,0.7524456972309734,0.3800588200541948,0.1973710441832778,0.45,0.24324324324324326,2.4324324324324325,20
AdaBoost,0.785,0.4482758620689655,0.7027027027027027,0.5473684210526316,0.7444039131155696,0.3928398882095037,0.20210247552003952,0.35,0.1891891891891892,1.8918918918918919,20
XGBoost,0.78,0.4222222222222222,0.5135135135135135,0.4634146341463415,0.7390150887083403,0.37099433871706217,0.1677524745464325,0.4,0.21621621621621623,2.1621621621621623,20
Random Forest,0.78,0.3870967741935484,0.32432432432432434,0.35294117647058826,0.7138948764715636,0.3777417157491795,0.15393461111111112,0.35,0.1891891891891892,1.8918918918918919,20
Support Vector Machine,0.66,0.26865671641791045,0.4864864864864865,0.34615384615384615,0.6738517658763058,0.3110359239906165,0.20212603920601657,0.4,0.21621621621621623,2.1621621621621623,20
Naive Bayes,0.565,0.2549019607843137,0.7027027027027027,0.37410071942446044,0.6589288675178245,0.2910554550590032,0.34813815078408644,0.3,0.16216216216216217,1.6216216216216215,20
Decision Tree,0.75,0.37254901960784315,0.5135135135135135,0.4318181818181818,0.6585972475543028,0.28130895601483835,0.25,0.55,0.2972972972972973,2.9729729729729732,20
Logistic Regression,0.52,0.23893805309734514,0.7297297297297297,0.36,0.6576023876637374,0.3140917099595797,0.320872022461436,0.35,0.1891891891891892,1.8918918918918919,20
